date,kospi200
2020-01-20,305.58
2020-01-21,302.11
2020-01-22,306.08
2020-01-23,302.33
2020-01-28,292.77
2020-01-29,293.98
2020-01-30,288.37
2020-01-31,284.53
2020-02-03,285.05
2020-02-04,290.68
2020-02-05,292.02
2020-02-06,300.65
2020-02-07,298.21
2020-02-10,296.24
2020-02-11,299.28
2020-02-12,301.54
2020-02-13,300.93
2020-02-14,303.01
2020-02-17,302.76
2020-02-18,297.74
2020-02-19,298.33
2020-02-20,296.65
2020-02-21,292.42
2020-02-24,281.02
2020-02-25,284.24
2020-02-26,279.94
2020-02-27,277.09
2020-02-28,268.02
2020-03-02,270.37
2020-03-03,271.56
2020-03-04,278.13
2020-03-05,281.38
2020-03-06,275.1
2020-03-09,263.11
2020-03-10,264.67
2020-03-11,257.01
2020-03-12,247.62
2020-03-13,240.65
2020-03-16,232.97
2020-03-17,226.89
2020-03-18,215.83
2020-03-19,199.28
2020-03-20,213.67
2020-03-23,201.87
2020-03-24,220.34
2020-03-25,232.89
2020-03-26,229.34
2020-03-27,233.79
2020-03-30,232.45
2020-03-31,236.82
2020-04-01,226.35
2020-04-02,231.84
2020-04-03,231.7
2020-04-06,240.81
2020-04-07,244.87
2020-04-08,241.89
2020-04-09,245.61
2020-04-10,248.0
2020-04-13,243.4
2020-04-14,247.45
2020-04-16,247.1
2020-04-17,255.02
2020-04-20,252.14
2020-04-21,249.4
2020-04-22,251.88
2020-04-23,253.74
2020-04-24,250.28
2020-04-27,254.84
2020-04-28,256.39
2020-04-29,258.15
2020-05-04,250.6
2020-05-06,255.0
2020-05-07,254.46
2020-05-08,256.62
2020-05-11,254.95
2020-05-12,253.37
2020-05-13,255.85
2020-05-14,253.65
2020-05-15,253.79
2020-05-18,255.44
2020-05-19,261.79
2020-05-20,262.72
2020-05-21,263.74
2020-05-22,259.62
2020-05-25,262.76
2020-05-26,267.31
2020-05-27,267.64
2020-05-28,268.29
2020-05-29,268.32
2020-06-01,273.19
2020-06-02,276.08
2020-06-03,285.91
2020-06-04,286.45
2020-06-05,290.62
2020-06-08,290.77
2020-06-09,291.32
2020-06-10,291.9
2020-06-11,288.62
2020-06-12,281.78
2020-06-15,267.95
2020-06-16,282.59
2020-06-17,283.02
2020-06-18,281.91
2020-06-19,283.37
2020-06-22,281.42
2020-06-23,281.94
2020-06-24,286.7
2020-06-25,279.73
2020-06-26,283.38
2020-06-29,278.04
2020-06-30,280.09
2020-07-01,280.26
2020-07-02,283.86
2020-07-03,285.89
2020-07-06,290.62
2020-07-07,286.77
2020-07-08,285.97
2020-07-09,287.25
2020-07-10,285.06
2020-07-13,289.84
2020-07-14,289.63
2020-07-15,292.27
2020-07-16,289.25
2020-07-17,291.57
2020-07-20,290.81
2020-07-21,295.16
2020-07-22,294.04
2020-07-23,292.37
2020-07-24,290.66
2020-07-27,293.51
2020-07-28,300.13
2020-07-29,301.25
2020-07-30,301.85
2020-07-31,299.32
2020-08-03,299.46
2020-08-04,303.04
2020-08-05,306.64
2020-08-06,311.32
2020-08-07,312.57
2020-08-10,316.77
2020-08-11,321.02
2020-08-12,322.68
2020-08-13,323.33
2020-08-14,319.24
2020-08-18,312.84
2020-08-19,313.54
2020-08-20,301.59
2020-08-21,306.16
2020-08-24,309.33
2020-08-25,313.59
2020-08-26,314.19
2020-08-27,311.38
2020-08-28,312.24
2020-08-31,307.14
2020-09-01,309.81
2020-09-02,311.5
2020-09-03,316.43
2020-09-04,312.03
2020-09-07,313.67
2020-09-08,317.38
2020-09-09,313.77
2020-09-10,316.53
2020-09-11,316.45
2020-09-14,320.98
2020-09-15,323.36
2020-09-16,322.31
2020-09-17,318.0
2020-09-18,318.39
2020-09-21,315.89
2020-09-22,308.82
2020-09-23,309.64
2020-09-24,302.48
2020-09-25,303.57
2020-09-28,307.03
2020-09-29,309.44
2020-10-05,313.51
2020-10-06,314.45
2020-10-07,317.35
2020-10-08,317.47
2020-10-12,319.15
2020-10-13,319.58
2020-10-14,316.57
2020-10-15,313.92
2020-10-16,311.83
2020-10-19,312.59
2020-10-20,314.71
2020-10-21,315.76
2020-10-22,313.77
2020-10-23,314.79
2020-10-26,313.53
2020-10-27,311.8
2020-10-28,313.17
2020-10-29,309.94
2020-10-30,301.6
2020-11-02,305.95
2020-11-03,312.07
2020-11-04,313.83
2020-11-05,321.51
2020-11-06,322.1
2020-11-09,325.83
2020-11-10,326.13
2020-11-11,331.12
2020-11-12,329.72
2020-11-13,333.03
2020-11-16,340.63
2020-11-17,339.85
2020-11-18,339.96
2020-11-19,340.16
2020-11-20,340.62
2020-11-23,348.46
2020-11-24,350.28
2020-11-25,348.3
2020-11-26,352.12
2020-11-27,352.73
2020-11-30,346.05
2020-12-01,352.4
2020-12-02,358.66
2020-12-03,361.66
2020-12-04,367.63
2020-12-07,369.86
2020-12-08,363.45
2020-12-09,371.47
2020-12-10,369.37
2020-12-11,372.24
2020-12-14,371.56
2020-12-15,370.88
2020-12-16,372.53
2020-12-17,372.0
2020-12-18,371.55
2020-12-21,372.18
2020-12-22,366.43
2020-12-23,371.32
2020-12-24,379.18
2020-12-28,379.93
2020-12-29,381.27
2020-12-30,389.29
2021-01-04,399.88
2021-01-05,406.03
2021-01-06,402.08
2021-01-07,410.81
2021-01-08,430.22
2021-01-11,431.13
2021-01-12,427.87
2021-01-13,430.38
2021-01-14,429.85
2021-01-15,420.43
2021-01-18,410.5
2021-01-19,421.35
2021-01-20,424.01
2021-01-21,430.27
2021-01-22,427.13
2021-01-25,437.3
2021-01-26,426.73
2021-01-27,423.67
2021-01-28,416.4
2021-01-29,404.56
2021-02-01,415.45
2021-02-02,421.03
2021-02-03,425.21
2021-02-04,418.31
2021-02-05,423.3
2021-02-08,418.95
2021-02-09,417.91
2021-02-10,419.65
2021-02-15,427.01
2021-02-16,429.24
2021-02-17,424.2
2021-02-18,417.44
2021-02-19,420.94
2021-02-22,416.88
2021-02-23,415.82
2021-02-24,407.16
2021-02-25,422.52
2021-02-26,409.91
2021-03-02,414.8
2021-03-03,420.27
2021-03-04,414.17
2021-03-05,412.0
2021-03-08,408.34
2021-03-09,405.79
2021-03-10,403.48
2021-03-11,411.02
2021-03-12,416.13
2021-03-15,414.18
2021-03-16,417.31
2021-03-17,414.01
2021-03-18,417.06
2021-03-19,412.91
2021-03-22,412.64
2021-03-23,408.71
2021-03-24,407.1
2021-03-25,408.53
2021-03-26,412.89
2021-03-29,412.05
2021-03-30,416.61
2021-03-31,415.04
2021-04-01,419.42
2021-04-02,423.74
2021-04-05,424.85
2021-04-06,425.88
2021-04-07,426.7
2021-04-08,426.86
2021-04-09,424.3
2021-04-12,424.22
2021-04-13,429.08
2021-04-14,430.71
2021-04-15,432.66
2021-04-16,432.43
2021-04-19,431.96
2021-04-20,434.6
2021-04-21,426.75
2021-04-22,427.37
2021-04-23,428.34
2021-04-26,432.36
2021-04-27,432.14
2021-04-28,427.48
2021-04-29,426.28
2021-04-30,422.36
2021-05-03,420.36
2021-05-04,423.57
2021-05-06,426.64
2021-05-07,428.56
2021-05-10,435.63
2021-05-11,428.77
2021-05-12,421.86
2021-05-13,416.07
2021-05-14,420.17
2021-05-17,418.27
2021-05-18,423.09
2021-05-20,421.68
2021-05-21,422.08
2021-05-24,420.57
2021-05-25,424.35
2021-05-26,423.54
2021-05-27,423.0
2021-05-28,425.95
2021-05-31,427.91
2021-06-01,430.32
2021-06-02,430.15
2021-06-03,433.87
2021-06-04,432.22
2021-06-07,433.26
2021-06-08,432.88
2021-06-09,428.16
2021-06-10,429.35
2021-06-11,432.78
2021-06-14,433.22
2021-06-15,434.13
2021-06-16,436.96
2021-06-17,434.73
2021-06-18,435.02
2021-06-21,431.46
2021-06-22,434.42
2021-06-23,436.73
2021-06-24,438.38
2021-06-25,440.4
2021-06-28,439.98
2021-06-29,437.54
2021-06-30,438.84
2021-07-01,436.34
2021-07-02,436.0
2021-07-05,437.66
2021-07-06,439.5
2021-07-07,436.97
2021-07-08,432.63
2021-07-09,427.84
2021-07-12,431.28
2021-07-13,434.71
2021-07-14,433.57
2021-07-15,436.76
2021-07-16,434.82
2021-07-19,429.89
2021-07-20,428.55
2021-07-21,426.0
2021-07-22,431.38
2021-07-23,431.55
2021-07-26,427.47
2021-07-27,428.22
2021-07-28,429.15
2021-07-29,429.49
2021-07-30,423.91
2021-08-02,426.79
2021-08-03,429.98
2021-08-04,436.05
2021-08-05,434.74
2021-08-06,433.29
2021-08-09,431.65
2021-08-10,428.56
2021-08-11,424.74
2021-08-12,422.38
2021-08-13,416.06
2021-08-17,411.31
2021-08-18,413.36
2021-08-19,404.96
2021-08-20,400.78
2021-08-23,404.58
2021-08-24,412.48
2021-08-25,413.95
2021-08-26,410.38
2021-08-27,410.24
2021-08-30,411.5
2021-08-31,419.79
2021-09-01,419.92
2021-09-02,415.89
2021-09-03,419.22
2021-09-06,420.37
2021-09-07,417.8
2021-09-08,414.54
2021-09-09,407.28
2021-09-10,408.7
2021-09-13,409.7
2021-09-14,412.36
2021-09-15,412.85
2021-09-16,409.22
2021-09-17,410.99
2021-09-23,410.46
2021-09-24,409.84
2021-09-27,410.97
2021-09-28,406.2
2021-09-29,400.09
2021-09-30,401.3
2021-10-01,394.79
2021-10-05,388.01
2021-10-06,381.93
2021-10-07,388.14
2021-10-08,387.42
2021-10-12,380.69
2021-10-13,384.1
2021-10-14,389.59
2021-10-15,393.19
2021-10-18,392.02
2021-10-19,395.41
2021-10-20,393.74
2021-10-21,393.18
2021-10-22,393.34
2021-10-25,395.01
2021-10-26,399.07
2021-10-27,395.48
2021-10-28,393.89
2021-10-29,388.47
2021-11-01,389.81
2021-11-02,394.82
2021-11-03,389.48
2021-11-04,391.54
2021-11-05,389.86
2021-11-08,389.59
2021-11-09,390.36
2021-11-10,386.24
2021-11-11,385.97
2021-11-12,390.38
2021-11-15,394.36
2021-11-16,394.07
2021-11-17,389.44
2021-11-18,387.44
2021-11-19,390.53
2021-11-22,399.07
2021-11-23,396.44
2021-11-24,395.4
2021-11-25,391.93
2021-11-26,385.07
2021-11-29,381.63
2021-11-30,373.24
2021-12-01,383.13
2021-12-02,389.64
2021-12-03,391.96
2021-12-06,392.85
2021-12-07,396.31
2021-12-08,397.27
2021-12-09,401.13
2021-12-10,397.97
2021-12-13,397.27
2021-12-14,395.41
2021-12-15,395.66
2021-12-16,397.68
2021-12-17,398.96
2021-12-20,391.37
2021-12-21,393.95
2021-12-22,396.07
2021-12-23,398.15
2021-12-24,400.53
2021-12-27,398.61
2021-12-28,401.21
2021-12-29,396.72
2021-12-30,394.19
2022-01-03,395.51
2022-01-04,395.4
2022-01-05,390.39
2022-01-06,386.22
2022-01-07,390.85
2022-01-10,387.52
2022-01-11,388.97
2022-01-12,394.66
2022-01-13,393.0
2022-01-14,387.45
2022-01-17,383.81
2022-01-18,381.01
2022-01-19,378.21
2022-01-20,380.39
2022-01-21,376.08
2022-01-24,371.3
2022-01-25,362.39
2022-01-26,360.83
2022-01-27,348.58
2022-01-28,357.98
2022-02-03,361.6
2022-02-04,366.34
2022-02-07,362.92
2022-02-08,363.48
2022-02-09,368.65
2022-02-10,371.57
2022-02-11,368.61
2022-02-14,362.98
2022-02-15,360.43
2022-02-16,367.3
2022-02-17,369.55
2022-02-18,368.55
2022-02-21,368.29
2022-02-22,363.51
2022-02-23,364.44
2022-02-24,355.04
2022-02-25,358.44
2022-02-28,361.54
2022-03-02,360.59
2022-03-03,367.06
2022-03-04,361.69
2022-03-07,353.03
2022-03-08,349.38
2022-03-10,358.01
2022-03-11,355.31
2022-03-14,354.61
2022-03-15,351.03
2022-03-16,356.09
2022-03-17,361.46
2022-03-18,362.33
2022-03-21,358.77
2022-03-22,361.66
2022-03-23,364.84
2022-03-24,363.38
2022-03-25,362.06
2022-03-28,362.06
2022-03-29,363.77
2022-03-30,364.5
2022-03-31,365.61
2022-04-01,363.19
2022-04-04,364.94
2022-04-05,364.74
2022-04-06,361.01
2022-04-07,355.73
2022-04-08,356.01
2022-04-11,355.78
2022-04-12,352.32
2022-04-13,359.0
2022-04-14,357.38
2022-04-15,353.84
2022-04-18,353.63
2022-04-19,357.36
2022-04-20,357.52
2022-04-21,359.02
2022-04-22,355.43
2022-04-25,348.98
2022-04-26,350.67
2022-04-27,346.21
2022-04-28,350.16
2022-04-29,355.08
2022-05-02,354.02
2022-05-03,353.32
2022-05-04,353.85
2022-05-06,349.0
2022-05-09,345.41
2022-05-10,343.67
2022-05-11,343.44
2022-05-12,337.94
2022-05-13,345.5
2022-05-16,343.94
2022-05-17,347.53
2022-05-18,348.34
2022-05-19,343.24
2022-05-20,349.29
2022-05-23,350.34
2022-05-24,344.08
2022-05-25,345.6
2022-05-26,344.26
2022-05-27,348.04
2022-05-30,352.49
2022-05-31,354.54
2022-06-02,350.51
2022-06-03,352.01
2022-06-07,345.67
2022-06-08,346.22
2022-06-09,346.62
2022-06-10,341.89
2022-06-13,329.88
2022-06-14,328.23
2022-06-15,322.21
2022-06-16,322.25
2022-06-17,320.09
2022-06-20,314.44
2022-06-21,316.38
2022-06-22,308.08
2022-06-23,305.45
2022-06-24,312.07
2022-06-27,316.2
2022-06-28,319.11
2022-06-29,312.86
2022-06-30,307.2
2022-07-01,304.02
2022-07-04,304.01
2022-07-05,309.03
2022-07-06,302.28
2022-07-07,308.31
2022-07-08,310.15
2022-07-11,308.29
2022-07-12,305.03
2022-07-13,306.59
2022-07-14,305.35
2022-07-15,307.91
2022-07-18,314.87
2022-07-19,313.9
2022-07-20,316.02
2022-07-21,319.68
2022-07-22,317.33
2022-07-25,318.34
2022-07-26,319.61
2022-07-27,319.74
2022-07-28,321.62
2022-07-29,323.31
2022-08-01,322.97
2022-08-02,321.64
2022-08-03,323.8
2022-08-04,325.47
2022-08-05,327.5
2022-08-08,327.23
2022-08-09,328.11
2022-08-10,324.35
2022-08-11,329.92
2022-08-12,330.67
2022-08-16,331.78
2022-08-17,329.91
2022-08-18,328.8
2022-08-19,326.79
2022-08-22,322.77
2022-08-23,318.69
2022-08-24,319.86
2022-08-25,323.63
2022-08-26,323.91
2022-08-29,316.35
2022-08-30,319.49
2022-08-31,322.96
2022-09-01,315.02
2022-09-02,312.92
2022-09-05,312.47
2022-09-06,313.01
2022-09-07,308.16
2022-09-08,309.12
2022-09-13,318.56
2022-09-14,312.74
2022-09-15,310.63
2022-09-16,308.69
2022-09-19,306.49
2022-09-20,307.54
2022-09-21,304.67
2022-09-22,301.65
2022-09-23,297.74
2022-09-26,289.77
2022-09-27,290.2
2022-09-28,283.19
2022-09-29,282.65
2022-09-30,281.36
2022-10-04,288.27
2022-10-05,289.05
2022-10-06,291.26
2022-10-07,290.41
2022-10-11,284.96
2022-10-12,287.09
2022-10-13,282.57
2022-10-14,289.36
2022-10-17,289.57
2022-10-18,293.59
2022-10-19,291.29
2022-10-20,288.61
2022-10-21,288.57
2022-10-24,291.47
2022-10-25,291.58
2022-10-26,293.85
2022-10-27,298.82
2022-10-28,295.06
2022-10-31,299.58
2022-11-01,303.88
2022-11-02,303.87
2022-11-03,301.66
2022-11-04,304.33
2022-11-07,307.87
2022-11-08,312.01
2022-11-09,315.23
2022-11-10,311.13
2022-11-11,323.09
2022-11-14,321.53
2022-11-15,322.31
2022-11-16,321.96
2022-11-17,316.75
2022-11-18,317.12
2022-11-21,314.67
2022-11-22,312.02
2022-11-23,314.11
2022-11-24,317.3
2022-11-25,316.07
2022-11-28,312.21
2022-11-29,315.58
2022-11-30,321.0
2022-12-01,322.02
2022-12-02,315.02
2022-12-05,313.91
2022-12-06,310.14
2022-12-07,308.27
2022-12-08,308.24
2022-12-09,311.63
2022-12-12,309.64
2022-12-13,309.56
2022-12-14,313.23
2022-12-15,307.73
2022-12-16,307.48
2022-12-19,306.77
2022-12-20,304.05
2022-12-21,303.23
2022-12-22,307.48
2022-12-23,302.07
2022-12-26,302.27
2022-12-27,304.22
2022-12-28,297.09
2022-12-29,291.1
2023-01-02,289.79
2023-01-03,289.58
2023-01-04,295.98
2023-01-05,297.87
2023-01-06,301.53
2023-01-09,309.69
2023-01-10,309.57
2023-01-11,310.38
2023-01-12,310.7
2023-01-13,313.77
2023-01-16,316.04
2023-01-17,313.75
2023-01-18,311.91
2023-01-19,313.81
2023-01-20,315.58
2023-01-25,320.76
2023-01-26,325.57
2023-01-27,327.98
2023-01-30,322.67
2023-01-31,317.26
2023-02-01,321.19
2023-02-02,323.93
2023-02-03,325.86
2023-02-06,318.83
2023-02-07,320.55
2023-02-08,325.63
2023-02-09,324.9
2023-02-10,323.69
2023-02-13,321.75
2023-02-14,323.47
2023-02-15,317.99
2023-02-16,324.1
2023-02-17,320.78
2023-02-20,321.79
2023-02-21,321.56
2023-02-22,315.94
2023-02-23,319.44
2023-02-24,316.94
2023-02-27,313.94
2023-02-28,314.8
2023-03-02,316.26
2023-03-03,316.36
2023-03-06,320.94
2023-03-07,319.8
2023-03-08,315.38
2023-03-09,314.04
2023-03-10,310.65
2023-03-13,313.21
2023-03-14,305.58
2023-03-15,309.1
2023-03-16,308.39
2023-03-17,312.07
2023-03-20,309.49
2023-03-21,310.36
2023-03-22,314.11
2023-03-23,315.75
2023-03-24,314.3
2023-03-27,312.85
2023-03-28,316.36
2023-03-29,317.01
2023-03-30,318.05
2023-03-31,322.03
2023-04-03,320.38
2023-04-04,321.75
2023-04-05,323.56
2023-04-06,317.82
2023-04-07,323.36
2023-04-10,326.38
2023-04-11,330.87
2023-04-12,332.09
2023-04-13,333.09
2023-04-14,333.68
2023-04-17,333.92
2023-04-18,333.5
2023-04-19,333.77
2023-04-20,332.66
2023-04-21,330.94
2023-04-24,328.7
2023-04-25,324.48
2023-04-26,323.97
2023-04-27,325.09
2023-04-28,326.46
2023-05-02,329.09
2023-05-03,326.52
2023-05-04,326.17
2023-05-08,328.9
2023-05-09,328.22
2023-05-10,326.04
2023-05-11,325.28
2023-05-12,323.61
2023-05-15,324.46
2023-05-16,325.31
2023-05-17,326.61
2023-05-18,329.84
2023-05-19,334.23
2023-05-22,336.27
2023-05-23,337.09
2023-05-24,336.49
2023-05-25,335.35
2023-05-26,337.11
2023-05-30,341.5
2023-05-31,339.12
